placeId,source,sourceUrl,name,address,phone,website,googleMapsUrl,rating,reviewCount,businessStatus,primaryType,types,pureServiceAreaBusiness,latitude,longitude,matchedTerms,matchedAreas,totalScore,technicalScore,modernityScore,attractivenessScore,conversionScore,contentScore,leadAngle,reachable,finalUrl,statusCode,loadMs,screenshotPath,findings,recommendations,hasBooking,hasPricing,hasGallery,hasReviews,hasContactForm,hasSchema,error
osm:node/5657612798,osm,https://www.openstreetmap.org/node/5657612798,Albright Auto Detailing,"539 South 5th Street, Camden NJ 08103",,,,,,,shop:car_repair,shop=car_repair,false,39.9384205,-75.1211388,auto detailing; detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/5603577093,osm,https://www.openstreetmap.org/node/5603577093,Auto Elite - Mobile Car Wash and Detail,"508 Paterson-Hamburg Turnpike, Wayne NJ 07470",,,,,,,car_wash,amenity=car_wash,false,40.954165,-74.2113948,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/1069015758,osm,https://www.openstreetmap.org/way/1069015758,Auto Reflections - Car Detailing Service,"60 Oceanport Avenue, Little Silver NJ 07739",+1-908-692-3522,https://autoreflectionsdetail.com/,,,,,car_wash,amenity=car_wash,false,40.325041,-74.0383049,car detailing; detailing,New Jersey,83,70,90,84,90,75,Content and trust upgrade lead,true,https://autoreflectionsdetail.com/,200,1039,,No pricing/packages signal detected. | No LocalBusiness structured data detected. | Older implementation markers detected: site builder/CMS marker. | Website has a comparatively strong automated audit score.,"Publish starting prices or packages for interior, exterior, ceramic coating, and paint correction. | Add LocalBusiness/AutomotiveBusiness schema with NAP, geo, hours, and service area. | Modernize frontend dependencies and visual system before increasing paid traffic.",true,false,true,true,true,false,
osm:way/1157422733,osm,https://www.openstreetmap.org/way/1157422733,Auto Spa,NJ,,,,,,,car_wash,amenity=car_wash,false,39.7343993,-75.3191239,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/13605548134,osm,https://www.openstreetmap.org/node/13605548134,Autobella,"1 Linda Lane, Southampton NJ 08088",+1-856-454-7500,https://www.auto-bella.com/,,,,,auto_detailing,shop=car_repair; service:vehicle:detailing=yes,false,39.8902965,-74.7466143,detailing,New Jersey,88,90,95,92,80,85,General website improvement opportunity,true,https://www.auto-bella.com/,200,1341,,No testimonial/review signal detected. | Older implementation markers detected: site builder/CMS marker. | Website has a comparatively strong automated audit score.,Embed Google reviews or add testimonials near conversion sections. | Modernize frontend dependencies and visual system before increasing paid traffic.,true,true,true,false,true,true,
osm:way/993225335,osm,https://www.openstreetmap.org/way/993225335,Blue Wave Auto Spa,NJ,,,,,,,car_wash,amenity=car_wash,false,40.4226856,-74.18937,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/595636125,osm,https://www.openstreetmap.org/way/595636125,C&C Auto Repair & Detailing,"2765 Lincoln Avenue, Camden NJ 08105",,,,,,,shop:car_repair,shop=car_repair,false,39.9574896,-75.0933076,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/5512877767,osm,https://www.openstreetmap.org/node/5512877767,Choice Auto Spa,"200 Mountainview Boulevard, Wayne NJ 07470",,,,,,,car_wash,amenity=car_wash,false,40.9151277,-74.2696784,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/71755195,osm,https://www.openstreetmap.org/way/71755195,Classic Auto Spa & Express Lube,"506 Route 17, Ramsey NJ 07446",,,,,,,car_wash,amenity=car_wash,false,41.0563059,-74.119988,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/1469324612,osm,https://www.openstreetmap.org/way/1469324612,Finishline Auto Salon,"1562 State Route 38, Lumberton NJ 08048",+16092679900,http://www.finishlineshop.com/,,,,,auto_detailing,shop=car_repair; service:vehicle:detailing=yes,false,39.9817129,-74.8003894,detailing,New Jersey,68,90,85,84,40,40,Conversion and booking upgrade lead,true,https://finishlineshop.squarespace.com/,200,1055,,No obvious online booking flow detected. | No strong quote/call/schedule CTA detected. | No pricing/packages signal detected. | No testimonial/review signal detected. | Older implementation markers detected: site builder/CMS marker.,"Add a visible Book Now or Schedule Online flow using a detailing-friendly booking tool. | Place a primary CTA in the hero, sticky mobile header, and service sections. | Publish starting prices or packages for interior, exterior, ceramic coating, and paint correction. | Embed Google reviews or add testimonials near conversion sections. | Modernize frontend dependencies and visual system before increasing paid traffic.",false,false,true,false,true,true,
osm:way/992573871,osm,https://www.openstreetmap.org/way/992573871,Four Seasons Auto Spa,"Route 70, NJ",,,,,,,car_wash,amenity=car_wash,false,40.0545544,-74.1766091,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/513506485,osm,https://www.openstreetmap.org/way/513506485,Garden State Car Wash and Detail,NJ,,,,,,,shop:car_repair,shop=car_repair,false,40.3858133,-74.0960841,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/13565468385,osm,https://www.openstreetmap.org/node/13565468385,JCC Auto Spa,"1611 Oak Tree Road, Iselin NJ 08830-1538",+1-732-986-9640,,,,,,car_wash,amenity=car_wash,false,40.5725595,-74.3355435,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/1356667073,osm,https://www.openstreetmap.org/way/1356667073,Kearny Auto Spa Car Wash & Oil Change,"946 Passaic Avenue, Kearny NJ 07032",,,,,,,car_wash,amenity=car_wash,false,40.7853029,-74.145945,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/503834265,osm,https://www.openstreetmap.org/way/503834265,Major League Auto Spa,"11 Locust Street, Pompton Lakes NJ 07442",,,,,,,car_wash,amenity=car_wash,false,41.0064396,-74.2947578,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/4637975460,osm,https://www.openstreetmap.org/node/4637975460,Optimum Auto Spa,"148 Sandford Street, New Brunswick NJ 08901",,,,,,,car_wash,amenity=car_wash,false,40.4829975,-74.4484635,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/3124657875,osm,https://www.openstreetmap.org/node/3124657875,Platinum Hand Car Wash & Detail Center,"275 Broadway, Keyport NJ 07735",+1-732-888-7656,https://www.platinum-wash.com/,,,,,car_wash,amenity=car_wash,false,40.4276864,-74.2105324,detailing,New Jersey,66,80,77,57,35,95,Conversion and booking upgrade lead,true,https://www.platinum-wash.com/,200,2029,,"No obvious online booking flow detected. | No strong quote/call/schedule CTA detected. | Older implementation markers detected: table layout markers, Bootstrap 3 marker, old jQuery marker, site builder/CMS marker.","Add a visible Book Now or Schedule Online flow using a detailing-friendly booking tool. | Place a primary CTA in the hero, sticky mobile header, and service sections. | Modernize frontend dependencies and visual system before increasing paid traffic.",false,true,true,true,false,true,
osm:way/273358496,osm,https://www.openstreetmap.org/way/273358496,Pristine Auto Spa & Service Center,"2122 Paterson-Hamburg Turnpike, Wayne NJ 07470",,,,,,,car_wash,amenity=car_wash,false,40.9811526,-74.2730217,auto spa,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/265344910,osm,https://www.openstreetmap.org/way/265344910,Quick Touch Auto Repair & Detailing,NJ,,,,,,,shop:car_repair,shop=car_repair,false,39.9524937,-75.0902651,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:way/265344895,osm,https://www.openstreetmap.org/way/265344895,Quick Touch Maintenance & Detailing,NJ,,,,,,,shop:car_repair,shop=car_repair,false,39.9523441,-75.0907293,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/5189064780,osm,https://www.openstreetmap.org/node/5189064780,Signature Detailing New Jersey,"216 US-206, Hillsborough NJ 08844",,,,,,,shop:car_repair,shop=car_repair,false,40.5304588,-74.6275482,auto detailing; paint correction; detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
osm:node/10313880929,osm,https://www.openstreetmap.org/node/10313880929,South Jersey Detailers,"408 East Absecon Boulevard, Absecon NJ 08201",,,,,,,shop:car_detail,shop=car_detail,false,39.418266,-74.4924467,detailing,New Jersey,0,0,0,0,0,0,No website listed in source profile,false,,,,,No website found in the source search result.,"Build or claim a modern website with services, prices, gallery, booking CTA, and local SEO basics.",,,,,,,
